gen     	evals	sigma	distance	avg 	std 	min 	max  	dur 
0001/150	19   	4.67 	1.91    	8.68	4.36	3.75	18.81	1.38
0002/150	19   	4.56 	2.7     	11.13	6.04	3.22	31.41	2.02
0003/150	19   	4.59 	0.97    	16.95	12.9	3.98	48.74	3.34
0004/150	19   	4.71 	2.38    	18.58	13.03	3.23	47.62	3.4 
0005/150	19   	4.84 	2.78    	19.99	12.97	7.76	61.21	3.95
0006/150	19   	5.06 	2.64    	20.82	12.83	11.24	63.21	4.44
0007/150	19   	5.12 	1.13    	15.33	6.26 	3.25 	24.05	2.06
0008/150	19   	5.15 	2.41    	13.39	5.58 	6.45 	24.99	1.98
0009/150	19   	5.18 	4.5     	17.12	10.72	8.15 	50.29	3.39
0010/150	19   	5.2  	12.47   	21.3 	30.54	3.46 	145.99	10  
0011/150	19   	5.23 	3.18    	18.07	7.76 	3.3  	32.41 	2.73
0012/150	19   	5.27 	6.73    	18.88	13.27	8.85 	67.68 	4.98
0013/150	19   	5.33 	0.28    	19.47	8.59 	3.03 	35.7  	2.89
0014/150	19   	5.44 	4.05    	19.99	24.79	3.25 	112.98	7.41
0015/150	19   	5.61 	11.93   	33.21	46.54	7.66 	166.22	10  
0016/150	19   	5.69 	5.06    	19.08	15.23	9.09 	75.45 	4.99
0017/150	19   	5.81 	1.47    	27.91	42.37	4.69 	201.37	10  
0018/150	19   	5.91 	2.51    	15.83	6.03 	5.95 	33.17 	2.1 
0019/150	19   	5.83 	1.31    	25.52	43.08	8.42 	205.05	10  
0020/150	19   	5.73 	0.87    	13.42	5.19 	5.2  	27.91 	2.08
0021/150	19   	5.72 	1.29    	26.66	42.51	7.99 	204.85	10  
0022/150	19   	5.71 	8.7     	32.73	39.36	8.1  	164.44	10  
0023/150	19   	5.73 	0.92    	16.51	8.26 	5.25 	42.12 	2.88
0024/150	19   	5.7  	2.95    	16.19	5.39 	8.16 	28.29 	2.21
0025/150	19   	5.62 	-0.04   	26.82	20.84	9.32 	94.35 	8.98
0026/150	19   	5.6  	0.3     	17.88	10.78	3.25 	42.5  	3.92
0027/150	19   	5.58 	4.17    	19.7 	13.45	3.76 	62.28 	3.91
0028/150	19   	5.61 	2.78    	18.85	10.5 	9.9  	44.23 	4.05
0029/150	19   	5.57 	1.53    	27.76	42.05	9.67 	202.07	10  
0030/150	19   	5.54 	0.03    	21.58	21.81	3.76 	101.24	9.82
0031/150	19   	5.6  	1.17    	34.53	58.78	6.65 	203.69	10  
0032/150	19   	5.59 	1.16    	31.46	45.1 	6.96 	200.73	10  
0033/150	19   	5.62 	1.27    	57.04	73.01	8.29 	201.81	10  
0034/150	19   	5.64 	1.44    	34.41	57.74	6.86 	202.14	10  
0035/150	19   	5.69 	1.26    	34.05	41.95	9.34 	201.2 	10  
0036/150	19   	5.77 	1.24    	55.67	67.06	9.69 	201.33	10  
0037/150	19   	5.84 	1.22    	49.13	67.87	5.46 	201.5 	10  
0038/150	19   	5.77 	0.25    	26.49	19.34	8.05 	83.43 	7.4 
