gen     	evals	sigma	distance	avg 	std 	min 	max  	dur 
0039/150	19   	5.75 	1.27    	28   	43.49	9.87 	203.22	10  
0040/150	19   	5.69 	1.28    	33.32	30.88	10.03	103.63	9.85
0041/150	19   	5.66 	1.26    	53.96	69.35	11.82	203.43	10  
0042/150	19   	5.63 	1.21    	37.66	45.48	10.85	201.32	10  
0043/150	19   	5.55 	1.11    	43.63	60.46	10.29	201.64	10  
0044/150	19   	5.51 	-0.07   	24.1 	20.63	9.79 	93.4  	8.91
0045/150	19   	5.4  	1.32    	68.78	73.05	7.98 	201.75	10  
0046/150	19   	5.36 	0.55    	28.52	24.43	7.94 	117.51	10  
0047/150	19   	5.36 	1.14    	50.88	66.24	9.83 	201.92	10  
0048/150	19   	5.41 	1.19    	36.42	45.92	7.86 	201.13	10  
0049/150	19   	5.59 	1.15    	40.91	45.79	9.87 	201.02	10  
0050/150	19   	5.87 	1.23    	56.13	58.09	7.98 	201.11	10  
0051/150	19   	6.16 	1.11    	72.68	61.72	11.66	201.32	10  
0052/150	19   	6.38 	1.25    	46.98	66.93	7.85 	201.56	10  
0053/150	19   	6.47 	1.14    	51.12	65.84	9.73 	201.36	10  
0054/150	19   	6.49 	1.05    	36.73	47.29	7.96 	201.63	10  
0055/150	19   	6.45 	1.34    	58.6 	58.15	7.97 	201.98	10  
0056/150	19   	6.43 	1.38    	49.05	53.57	10.55	201.08	10  
0057/150	19   	6.44 	1.41    	52.12	66.28	10.6 	202   	10  
0058/150	19   	6.54 	1.36    	40.26	57.4 	9.68 	201.94	10  
0059/150	19   	6.69 	1.41    	63.95	69.61	12.65	201.28	10  
0060/150	19   	6.74 	1.16    	24.32	20.08	8.84 	80.9  	7.69
0061/150	19   	6.79 	1.38    	51.46	67.6 	4    	201.79	10  
0062/150	19   	6.79 	1.08    	76.25	85.05	7.96 	201.59	10  
0063/150	19   	6.85 	1.14    	68.58	71.21	10.45	200.97	10  
0064/150	19   	6.95 	1.08    	91.96	84.62	9.19 	201.73	10  
0065/150	19   	6.97 	1.13    	97.25	88.57	10.55	201.77	10  
0066/150	19   	6.98 	1.09    	90.89	85.35	11.9 	201.53	10  
0067/150	19   	6.97 	1.15    	106.61	89.51	9.13 	201.38	10  
0068/150	19   	6.97 	1.09    	56.84 	74.56	10.28	201.2 	10  
0069/150	19   	6.91 	1.08    	79.22 	85.08	8.01 	201.01	10  
0070/150	19   	6.89 	1.05    	58.01 	74.37	8.02 	201.9 	10  
0071/150	19   	6.93 	1.06    	64.66 	81.72	7.95 	201.7 	10  
0072/150	19   	6.89 	1.08    	94.05 	91.13	8.94 	201.39	10  
0073/150	19   	6.75 	1.13    	60.06 	74.68	8.51 	201.5 	10  
0074/150	19   	6.7  	1.06    	103.31	85.71	10.26	201.64	10  
0075/150	19   	6.7  	1.04    	82.04 	82.92	9.2  	201.61	10  
0076/150	19   	6.79 	1.12    	89.11 	85.5 	10.8 	201.64	10  
0077/150	19   	6.81 	1.16    	71.72 	79.29	9.75 	201.95	10  
0078/150	19   	6.96 	1.07    	92.76 	85.18	11.06	201.51	10  
0079/150	19   	6.97 	1.1     	98.83 	88.98	10.65	201.33	10  
0080/150	19   	6.99 	1.06    	97.25 	82.72	10.18	201.58	10  
0081/150	19   	6.86 	1.11    	77.45 	77.67	12.02	201.75	10  
0082/150	19   	6.75 	1.11    	69    	79.62	10.26	201.58	10  
0083/150	19   	6.74 	1.13    	94.72 	83.55	13.96	201.54	10  
0084/150	19   	6.71 	1.19    	108.9 	87.43	10.98	201.63	10  
0085/150	19   	6.78 	1.15    	71.22 	77.7 	9.97 	200.81	10  
0086/150	19   	6.81 	1.1     	108.49	88.92	11.68	201.42	10  
0087/150	19   	6.77 	1.11    	120.41	86.31	17.28	201.48	10  
0088/150	19   	6.82 	1.17    	97.33 	88.42	10.57	200.93	10  
0089/150	19   	6.83 	1.14    	86.38 	87.75	7.93 	201.56	10  
0090/150	19   	6.72 	1.19    	75.12 	85.61	9.06 	201.39	10  
0091/150	19   	6.64 	1.07    	104.11	92.22	9.38 	201.85	10  
0092/150	19   	6.55 	1.17    	81    	83.72	7.86 	201.27	10  
0093/150	19   	6.45 	1.12    	74.61 	79.04	10.27	201.52	10  
0094/150	19   	6.51 	1.15    	114.57	91.14	9.38 	201.7 	10  
0095/150	19   	6.62 	1.17    	97.71 	88.69	9.72 	201.88	10  
0096/150	19   	6.63 	1.02    	93.96 	84.08	13.21	202.01	10  
0097/150	19   	6.55 	1.13    	108.71	89.36	10.01	201.55	10  
0098/150	19   	6.33 	1.03    	112.42	93.04	8.19 	201.79	10  
0099/150	19   	6.19 	1.03    	141.97	86.84	8.99 	202.25	10  
0100/150	19   	6.07 	1.09    	96.12 	89.79	8.45 	201.53	10  
0101/150	19   	6.08 	1.1     	165.88	69.98	9.33 	202.05	10  
0102/150	19   	6.04 	1.09    	87.36 	80.2 	8.8  	201.01	10  
0103/150	19   	6.03 	1.07    	108.8 	89.3 	9.44 	201.55	10  
0104/150	19   	6.1  	1.08    	121.21	85.13	9.12 	201.77	10  
0105/150	19   	6.26 	1.14    	87.34 	86.76	9.55 	201.45	10  
0106/150	19   	6.3  	1.08    	123.14	91.09	7.7  	201.98	10  
0107/150	19   	6.39 	1       	133.57	88.59	7.95 	202.71	10  
0108/150	19   	6.41 	1.12    	95.15 	90.62	8.49 	201.66	10  
0109/150	19   	6.41 	1.05    	148.23	78.98	14   	201.83	10  
0110/150	19   	6.36 	1.12    	96.06 	89.61	9.21 	201.42	10  
0111/150	19   	6.35 	1.17    	96.77 	82.95	7.93 	200.93	10  
0112/150	19   	6.19 	1.05    	128.15	87.02	8.57 	201.48	10  
0113/150	19   	6.07 	1.14    	115.65	89.65	12.45	201.24	10  
0114/150	19   	5.91 	1.07    	144.22	83.65	15.79	201.57	10  
0115/150	19   	5.78 	1.07    	135.89	86.05	8.7  	201.64	10  
0116/150	19   	5.64 	1.15    	105.5 	84.97	8.47 	201.57	10  
0117/150	19   	5.52 	1.07    	176.57	58.09	17.34	201.57	10  
0118/150	19   	5.48 	1.03    	127.15	79.99	16.48	201.9 	10  
0119/150	19   	5.45 	1.08    	153.62	71.56	23.56	201.53	10  
0120/150	19   	5.43 	1.02    	132   	82.85	9.19 	201.83	10  
0121/150	19   	5.44 	1.05    	127.47	86.51	8.75 	202.04	10  
0122/150	19   	5.44 	1.08    	106.47	82.61	9.33 	201.43	10  
0123/150	19   	5.39 	1.09    	158.57	72.73	16.69	201.95	10  
0124/150	19   	5.51 	1.07    	128.96	86.23	11.55	201.54	10  
0125/150	19   	5.57 	1.05    	142.22	86.4 	10.67	201.49	10  
0126/150	19   	5.59 	1.09    	91.72 	86.12	8.6  	202.68	10  
0127/150	19   	5.58 	1.04    	168.19	63.95	35.06	202.5 	10  
0128/150	19   	5.54 	1.07    	120.16	87.12	10.64	201.49	10  
0129/150	19   	5.47 	1.07    	112.24	93.55	8.6  	201.62	10  
0130/150	19   	5.5  	1.04    	115.96	89.88	9.43 	201.61	10  
0131/150	19   	5.55 	1.05    	107.62	89.33	13.74	202.58	10  
0132/150	19   	5.61 	1.11    	85.2  	89.05	9.58 	201.85	10  
0133/150	19   	5.66 	1.12    	144.91	83.18	13.42	202.79	10  
0134/150	19   	5.66 	1.09    	110.24	87.13	9.62 	202.07	10  
0135/150	19   	5.71 	1.08    	119.16	86.63	14.75	202.03	10  
0136/150	19   	5.71 	1.03    	118.32	87.49	9.47 	202.23	10  
0137/150	19   	5.7  	1.02    	86.05 	88.13	9.27 	202.22	10  
0138/150	19   	5.64 	1.06    	88.68 	85.78	15.41	201.2 	10  
0139/150	19   	5.61 	1.1     	83.73 	81.74	10.15	201.43	10  
0140/150	19   	5.71 	1.12    	90.3  	84.87	13.32	201.86	10  
0141/150	19   	5.65 	1.11    	77.26 	84.5 	11.79	201.84	10  
0142/150	19   	5.61 	1.12    	109.41	88.59	9.31 	201.96	10  
0143/150	19   	5.54 	1.04    	114.41	91.19	12.95	201.89	10  
0144/150	19   	5.58 	1.09    	101.33	85.81	13.81	201.7 	10  
0145/150	19   	5.68 	1.14    	96.06 	89.51	13.29	201.42	10  
0146/150	19   	5.78 	1.09    	145.07	82.51	14.02	201.86	10  
0147/150	19   	5.96 	1.12    	144.45	83.59	9.89 	202.34	10  
0148/150	19   	6.05 	1.1     	103.41	92.58	13.2 	201.51	10  
0149/150	19   	6.06 	1.11    	104.04	92.11	10.51	202.07	10  
