gen     	evals	sigma	distance	avg 	std 	min 	max  	dur 
0083/150	19   	3.82 	11.9    	38.1 	41.76	9.09 	159.09	10  
0084/150	19   	3.78 	11.05   	48.15	46.36	9.2  	163.59	10  
0085/150	19   	3.77 	12.13   	51.21	54.02	13.2 	160.25	10  
0086/150	19   	3.71 	11.88   	66.15	56.34	10.84	163.28	10  
0087/150	19   	3.71 	12.13   	49.25	45.07	9.6  	161.1 	10  
0088/150	19   	3.68 	12.35   	55.25	51.51	14.14	163.07	10  
0089/150	19   	3.64 	11.53   	42.38	41.47	11.28	160.3 	10  
0090/150	19   	3.62 	12.3    	54.59	50.17	12.89	166.19	10  
0091/150	19   	3.57 	10.89   	60.21	53.39	12.21	161.41	10  
0092/150	19   	3.51 	10.32   	51.18	44.6 	12.84	165.67	10  
0093/150	19   	3.39 	11.69   	64.85	56.48	9.6  	167.73	10  
0094/150	19   	3.29 	12.41   	49.17	33.97	15.59	155.42	10  
0095/150	19   	3.21 	11.66   	65.53	51.49	16.54	163.47	10  
0096/150	19   	3.14 	12.08   	57.81	47.73	14.72	163.33	10  
0097/150	19   	3.07 	12.07   	52.77	47.99	19.04	163.03	10  
0098/150	19   	2.99 	10.18   	112.55	53.94	22.3 	164.02	10  
0099/150	19   	2.95 	11.99   	72.37 	55.64	12.75	163.93	10  
0100/150	19   	2.9  	11.94   	62.04 	50.61	16.44	162.5 	10  
0101/150	19   	2.86 	12.15   	84.31 	57.8 	13.92	164.13	10  
0102/150	19   	2.82 	11.98   	70.97 	55.54	16.13	164.28	10  
0103/150	19   	2.87 	11.7    	79.21 	51.43	14.2 	166.39	10  
0104/150	19   	2.88 	11.83   	60.53 	39.63	18.88	159.63	10  
0105/150	19   	2.83 	11.65   	66.13 	52.13	16.13	161.45	10  
0106/150	19   	2.8  	11.87   	85.57 	56.6 	23.78	162.01	10  
0107/150	19   	2.79 	12.03   	68.79 	47.31	20.49	164.86	10  
0108/150	19   	2.78 	11.59   	60.82 	41.86	12.47	163.24	10  
0109/150	19   	2.82 	10.03   	58.76 	40.04	13.92	162.17	10  
0110/150	19   	2.79 	12.25   	59.96 	42.8 	21.18	162.13	10  
0111/150	19   	2.73 	11.34   	70.92 	53.05	14.78	161.56	10  
0112/150	19   	2.69 	11.77   	83.16 	53.14	18.1 	161.21	10  
0113/150	19   	2.61 	11.85   	56.24 	41.21	16.29	159.34	10  
0114/150	19   	2.5  	12.08   	96.23 	55.33	13.64	161.15	10  
0115/150	19   	2.45 	12.33   	62.19 	50.37	10.97	161.7 	10  
0116/150	19   	2.41 	10.92   	66.38 	53.31	16.22	160.96	10  
0117/150	19   	2.38 	12.23   	112.8 	50.75	35.08	161.52	10  
0118/150	19   	2.34 	11.93   	79.58 	53.64	18.81	161.51	10  
0119/150	19   	2.3  	12.09   	81.21 	51.48	23.61	161.99	10  
0120/150	19   	2.24 	11.95   	65.17 	46.62	16.42	162.54	10  
0121/150	19   	2.21 	12.15   	97.94 	53.29	16.21	167.38	10  
0122/150	19   	2.19 	11.93   	71.82 	56.65	16.17	170.22	10  
0123/150	19   	2.15 	12.12   	83.8  	55.6 	26.05	170.13	10  
0124/150	19   	2.09 	10.95   	96.85 	62.26	16.79	166.88	10  
0125/150	19   	2.1  	12.27   	90.38 	59.99	15.89	170.85	10  
0126/150	19   	2.1  	11.48   	66.07 	52.05	14.71	166.55	10  
0127/150	19   	2.07 	10.52   	96.33 	55.49	33.64	168.51	10  
0128/150	19   	2.05 	10.18   	105.92	61.7 	30.53	170.53	10  
0129/150	19   	2.04 	11.69   	69.9  	53.78	17.39	168.33	10  
