gen     	evals	sigma	distance	avg 	std 	min 	max  	dur 
0001/150	19   	4.69 	2.29    	8.98	5.42	3.56	27.01	2.24
0002/150	19   	4.48 	2.16    	9.21	3.83	3.16	16.47	1.33
0003/150	19   	4.32 	1.2     	13.28	13.76	3.53	64.19	3.89
0004/150	19   	4.21 	0.75    	15   	11.33	3.58	41.66	3.01
0005/150	19   	4.16 	2.12    	14.9 	15.74	2.75	74.59	6.81
0006/150	19   	4.16 	3.26    	16.57	9.63 	3.7 	41.65	2.72
0007/150	19   	4.29 	3.26    	18.02	10.57	5.08	43.34	3.01
0008/150	19   	4.41 	5.66    	21.15	18.74	4.2 	89.01	5.73
0009/150	19   	4.43 	2.06    	23.08	41.56	7.69	198.33	10  
0010/150	19   	4.41 	2.07    	14.75	4.57 	7.31	23.42 	1.86
0011/150	19   	4.43 	2.38    	19.88	15.86	3.43	67.33 	4.63
0012/150	19   	4.41 	3.53    	20.84	11.9 	5.03	47.65 	3.55
0013/150	19   	4.42 	1.34    	28.02	43   	6.53	204.97	10  
0014/150	19   	4.47 	9.84    	23.28	30.92	3.68	151.2 	10  
0015/150	19   	4.54 	-1      	20.97	11.9 	5.16	44.7  	3.2 
0016/150	19   	4.56 	0.19    	21.03	12.7 	5.36	49.34 	4.34
0017/150	19   	4.59 	0.41    	21.45	9.97 	11.41	47.35 	3.17
0018/150	19   	4.64 	11.91   	33.43	34.62	11.84	167.44	10  
0019/150	19   	4.62 	1.14    	24.19	9.49 	12.53	49.1  	3.46
0020/150	19   	4.59 	2.8     	22.73	9.22 	11.39	43.47 	3.17
0021/150	19   	4.6  	3.99    	23.19	10.73	8.11 	55.22 	3.9 
0022/150	19   	4.56 	2.84    	29.23	19.91	9.66 	83.99 	5.68
0023/150	19   	4.57 	3.44    	22.04	9.03 	11.72	38.29 	2.81
0024/150	19   	4.59 	2.07    	23.92	11.82	11.79	48.89 	3.82
0025/150	19   	4.6  	1.32    	35.92	41.95	10.85	204.32	10  
0026/150	19   	4.64 	0.2     	22.78	12.13	10.04	61.25 	5.44
0027/150	19   	4.73 	4.35    	30.85	14.39	11.95	66.57 	4.58
0028/150	19   	4.84 	2.79    	20.61	10.47	9.17 	42.43 	3.42
0029/150	19   	4.96 	2.21    	25.37	14.81	10.14	57.65 	3.9 
0030/150	19   	4.99 	0.67    	21.91	9.48 	11.87	44.38 	3.09
0031/150	19   	5.01 	2.07    	24.35	11.5 	10.94	42.42 	2.96
0032/150	19   	5.09 	13.56   	32.54	29.53	10.62	148.55	10  
0033/150	19   	5.1  	2.88    	29.62	13.59	7.84 	64.19 	4.32
0034/150	19   	5.01 	3.57    	24.56	8.16 	13.34	42.8  	3.03
0035/150	19   	4.89 	5.61    	27.93	14.32	8.88 	68.05 	4.61
0036/150	19   	4.7  	13.71   	33.94	32   	10.22	154.25	10  
0037/150	19   	4.59 	10.16   	36.4 	32.06	9.9  	140.63	10  
0038/150	19   	4.56 	10.84   	35.32	38.57	10.31	145.59	10  
0039/150	19   	4.54 	2.27    	33.53	22.92	10.36	85.64 	6.66
0040/150	19   	4.61 	10.59   	39.63	26.73	11.05	124.81	8.6 
0041/150	19   	4.62 	4.6     	25.56	14.21	10.68	58.27 	4.45
0042/150	19   	4.7  	3.04    	28.21	16.52	8    	69.5  	5.2 
0043/150	19   	4.64 	10.19   	42.3 	34.99	11.58	142.97	10  
0044/150	19   	4.66 	11.03   	39.27	42.79	10.13	154.32	10  
0045/150	19   	4.65 	10.05   	48.75	31.32	12.88	125.46	10  
0046/150	19   	4.61 	10.63   	37.99	33.1 	9.57 	124.13	10  
0047/150	19   	4.61 	9.42    	36.73	28.57	8.14 	104.4 	9.49
0048/150	19   	4.62 	1.29    	44.52	50.88	9.24 	204.14	10  
0049/150	19   	4.67 	11.6    	32.57	30.51	10.83	145.34	10  
0050/150	19   	4.75 	11.29   	34.55	29.27	9.53 	132.01	10  
0051/150	19   	4.7  	10.32   	51.11	40.22	10.43	142.29	10  
0052/150	19   	4.62 	11.25   	55.39	38.48	11.15	145.44	10  
0053/150	19   	4.54 	10.3    	37   	25.97	10.03	122.27	10  
0054/150	19   	4.5  	10.19   	40.56	34.67	9.02 	122.25	10  
0055/150	19   	4.44 	9.82    	37.02	36.61	10.29	135.74	10  
0056/150	19   	4.39 	10.26   	60.54	48.35	10.42	141.64	10  
0057/150	19   	4.31 	10.82   	49.25	43.76	11.07	147.2 	10  
0058/150	19   	4.27 	9.44    	54.1 	38.21	9.66 	124.8 	10  
0059/150	19   	4.24 	9.85    	66.59	48.41	10.67	124.52	10  
0060/150	19   	4.15 	10.28   	43.35	39.53	8.76 	141.71	10  
0061/150	19   	4.07 	9.57    	52.05	37.42	10.06	124.74	10  
0062/150	19   	3.96 	5.9     	31.77	15.42	7.63 	66.45 	5.7 
0063/150	19   	3.92 	9.94    	40.03	35.44	9.02 	127.3 	10  
0064/150	19   	3.9  	9.37    	51.55	40.3 	10.02	125.38	10  
0065/150	19   	3.8  	10.26   	39.9 	35.92	7.36 	123.62	10  
0066/150	19   	3.76 	12.38   	55.27	44.26	12.18	142.3 	10  
0067/150	19   	3.75 	9.78    	66.16	42.69	13.41	138.91	10  
0068/150	19   	3.76 	9.4     	46.73	37.48	11.01	118.64	10  
0069/150	19   	3.75 	10.02   	39.76	30.75	10.31	121.14	10  
0070/150	19   	3.67 	9.97    	42.06	36.64	10.23	132.02	10  
0071/150	19   	3.67 	9.54    	58.47	49.71	8.63 	125.17	10  
0072/150	19   	3.65 	9.61    	58   	49.74	9.33 	125.46	10  
0073/150	19   	3.57 	10.1    	45.3 	39.61	9.71 	122.7 	10  
0074/150	19   	3.51 	10.34   	68.72	43.25	11.57	123.16	10  
0075/150	19   	3.45 	10.06   	59.47	45.29	10.43	124.37	10  
0076/150	19   	3.41 	10.27   	57.83	42.31	9.4  	125.09	10  
0077/150	19   	3.4  	9.18    	51.7 	43.95	10.75	123.23	10  
0078/150	19   	3.34 	10.23   	61.95	37.88	17.2 	124.82	10  
0079/150	19   	3.32 	10.6    	86.68	43.11	14.51	141.18	10  
0080/150	19   	3.28 	12.71   	51.17	38.38	10.83	130.2 	10  
0081/150	19   	3.23 	12.4    	53.73	43.95	10.52	134.97	10  
0082/150	19   	3.19 	10.58   	55.85	39.15	14.18	140.18	10  
0083/150	19   	3.15 	10.59   	46.9 	39.88	10.53	123.81	10  
0084/150	19   	3.09 	9.8     	66.62	45.08	11.1 	127.65	10  
0085/150	19   	3.04 	9.9     	52.74	44.06	10.7 	127.29	10  
0086/150	19   	2.95 	9.91    	73.53	38.95	16.2 	131.65	10  
0087/150	19   	2.91 	10.14   	75.18	50.98	11.65	142.19	10  
0088/150	19   	2.88 	10.52   	67.4 	40.47	11.23	143.06	10  
0089/150	19   	2.93 	10.21   	66.39	45   	10.45	128.73	10  
0090/150	19   	2.97 	9.78    	59.65	39.62	12.1 	131.67	10  
0091/150	19   	3.03 	10.22   	63.43	42.22	12   	142.99	10  
0092/150	19   	3.07 	10.43   	88.8 	41.87	14.31	143   	10  
0093/150	19   	3.03 	10.46   	57.48	46.3 	9.7  	144.45	10  
0094/150	19   	2.94 	10.43   	85.73	48.52	12.7 	145.1 	10  
0095/150	19   	2.89 	10.28   	71.32	46.98	9.96 	142.62	10  
0096/150	19   	2.86 	10.24   	68.93	37.72	16.54	144.2 	10  
0097/150	19   	2.79 	10.31   	55.71	36.28	15.42	144.6 	10  
0098/150	19   	2.78 	10.18   	85.61	44.51	31.19	145.04	10  
0099/150	19   	2.75 	10.36   	75.04	46.21	10.68	146.31	10  
0100/150	19   	2.7  	10.51   	61.59	39.04	14.6 	143.97	10  
0101/150	19   	2.65 	10.39   	71.26	37.57	13.77	144.82	10  
