gen     	evals	sigma	distance	avg 	std 	min 	max  	dur 
0102/150	19   	2.64 	10.44   	70.75	44.42	12.53	142.55	10  
0103/150	19   	2.58 	10.32   	88.59	45.89	12.81	145.36	10  
0104/150	19   	2.57 	10.38   	59.64	36.35	13.7 	144.49	10  
0105/150	19   	2.6  	10.64   	70.12	42.83	12.32	144.82	10  
0106/150	19   	2.63 	10.31   	90.64	50.73	9.94 	147.96	10  
0107/150	19   	2.67 	10.06   	69.35	44.31	12.48	145.16	10  
0108/150	19   	2.7  	6.6     	77.36	47.98	10.58	149.68	10  
0109/150	19   	2.76 	8.72    	80.84	43.32	19.89	159.53	10  
0110/150	19   	2.86 	10.08   	60.08	36.84	18.88	146.97	10  
0111/150	19   	2.94 	9.65    	76.78	42.24	20.74	145.59	10  
0112/150	19   	3.03 	10.35   	58.96	43.71	11.07	152.08	10  
0113/150	19   	3.09 	9.99    	68.57	45.04	28.39	151.13	10  
0114/150	19   	3.15 	10.2    	59.97	51.53	19.5 	150.57	10  
0115/150	19   	3.2  	10.04   	54.09	30.95	19.96	143.85	10  
0116/150	19   	3.19 	10.32   	57.72	42.14	14.08	143.19	10  
0117/150	19   	3.17 	10.3    	55.83	34.17	11.3 	142.94	10  
0118/150	19   	3.17 	10.45   	66.45	43.35	15.51	144.69	10  
0119/150	19   	3.09 	10.52   	75.2 	46.93	21.29	150.36	10  
0120/150	19   	3    	10.31   	60.72	43.63	20.13	143.21	10  
0121/150	19   	2.94 	10.24   	86.13	46.82	16   	145.31	10  
0122/150	19   	2.9  	10.2    	76.45	45.33	30.02	158.66	10  
0123/150	19   	2.88 	9.95    	69.28	38.55	22.7 	149.4 	10  
0124/150	19   	2.79 	9.98    	58.04	38.11	22.85	152   	10  
0125/150	19   	2.7  	10.2    	67.43	43.13	19.07	145.03	10  
0126/150	19   	2.6  	10      	69.33	48.43	18.53	146.79	10  
0127/150	19   	2.52 	10.23   	88.63	47.29	28.48	152.22	10  
0128/150	19   	2.45 	10.16   	84.58	49.73	21.11	153.78	10  
0129/150	19   	2.36 	9.84    	54.92	34.02	15.79	143.72	10  
0130/150	19   	2.3  	10.14   	84.02	49.68	20.27	148.77	10  
0131/150	19   	2.27 	10.23   	63.17	44.09	19.65	153.59	10  
0132/150	19   	2.29 	10.1    	85.56	53.34	20.9 	151.81	10  
0133/150	19   	2.3  	9.49    	53.1 	36.57	20.89	150.03	10  
0134/150	19   	2.29 	10.04   	49.33	30.14	20.45	155.11	10  
0135/150	19   	2.25 	10.25   	82.97	49.1 	26.64	154.84	10  
0136/150	19   	2.2  	10.21   	76.67	47.75	29.23	151.82	10  
0137/150	19   	2.2  	9.92    	83.05	51.89	10.96	152.84	10  
0138/150	19   	2.19 	10.44   	76.04	49.24	21.31	157.81	10  
0139/150	19   	2.25 	10.32   	88.32	48.8 	25.1 	157.04	10  
0140/150	19   	2.34 	9.58    	76.49	49.55	29.46	154.05	10  
0141/150	19   	2.38 	10.31   	83.2 	48.57	20.68	157.02	10  
0142/150	19   	2.45 	10.11   	61.66	48.29	13.36	154.7 	10  
0143/150	19   	2.48 	10.11   	64.3 	45.31	16.72	150.86	10  
0144/150	19   	2.48 	10.49   	62.09	43.88	21.11	152.88	10  
0145/150	19   	2.47 	10.2    	68.18	44.52	20.96	147.19	10  
0146/150	19   	2.49 	10.13   	79.5 	45.84	20.62	153.73	10  
0147/150	19   	2.45 	9.85    	68.81	46.2 	20.94	153.87	10  
0148/150	19   	2.42 	9.81    	70.21	52.31	19.75	150.39	10  
0149/150	19   	2.41 	9.68    	93.78	46.28	21.32	154.12	10  
