gen     	evals	sigma	distance	avg 	std	min 	max  	dur 
0084/150	19   	1.9  	11.85   	82.2  	52.21	24.31	165.87	10  
0085/150	19   	1.82 	12.26   	67.15 	51.96	19.7 	167.75	10  
0086/150	19   	1.76 	11.14   	66.3  	43.55	21.94	167.46	10  
0087/150	19   	1.75 	10.5    	63.71 	37.29	24.67	165.71	10  
0088/150	19   	1.73 	12.6    	76.48 	55.5 	22.59	172.69	10  
0089/150	19   	1.7  	12.89   	86.06 	55.64	22.26	173.53	10  
0090/150	19   	1.67 	12.23   	58.74 	45.85	23.57	166.46	10  
0091/150	19   	1.65 	12.7    	90.46 	56.18	19.09	171.84	10  
0092/150	19   	1.61 	12.33   	100.15	61.64	21.07	171.02	10  
0093/150	19   	1.6  	12.46   	88.7  	62.08	22.34	171.52	10  
0094/150	19   	1.58 	12.38   	80.23 	51.84	27.17	168.28	10  
0095/150	19   	1.56 	12.97   	90.58 	60.48	17.4 	172.06	10  
0096/150	19   	1.51 	12.67   	82.38 	50.88	28.29	167.3 	10  
0097/150	19   	1.47 	12.65   	74.23 	56.55	23.33	169.98	10  
0098/150	19   	1.41 	12.18   	94.35 	60.79	21.22	170.08	10  
0099/150	19   	1.38 	12.74   	101.36	56.41	23.28	171.71	10  
0100/150	19   	1.33 	12.28   	110.38	60.73	24.5 	175.34	10  
0101/150	19   	1.29 	12.94   	115.59	59.08	33.49	173.05	10  
0102/150	19   	1.27 	11.89   	110.51	64.95	25.09	174.3 	10  
0103/150	19   	1.24 	12.07   	100.45	62.8 	20.59	175.39	10  
0104/150	19   	1.22 	12.47   	86.97 	65.51	22.18	176.23	10  
0105/150	19   	1.19 	12.31   	86.39 	55.41	29.27	175.2 	10  
0106/150	19   	1.16 	12.31   	93.54 	54.03	25.49	173.69	10  
0107/150	19   	1.13 	12.24   	103.77	62.76	25.77	174.98	10  
0108/150	19   	1.11 	12.86   	114.21	58.23	23.4 	175.6 	10  
0109/150	19   	1.12 	12.37   	116.33	62.59	23.13	173.8 	10  
0110/150	19   	1.09 	12.25   	99.39 	57.53	26.97	173.92	10  
0111/150	19   	1.08 	12.38   	125.38	51.45	23.3 	173.41	10  
0112/150	19   	1.09 	12.65   	117.79	59.21	29.91	174.38	10  
0113/150	19   	1.08 	12.11   	84.07 	63.95	24.55	174.3 	10  
0114/150	19   	1.07 	12.42   	133.53	58.78	25.93	175.95	10  
0115/150	19   	1.08 	11.95   	121.73	67.04	22.33	176.04	10  
0116/150	19   	1.08 	12.84   	66.76 	56.51	20.74	175.19	10  
0117/150	19   	1.07 	12.52   	86.62 	59.98	22.78	175.45	10  
0118/150	19   	1.06 	12.25   	91.16 	70.42	23.3 	176.19	10  
0119/150	19   	1.06 	12.57   	110.17	66.65	22.06	176.71	10  
0120/150	19   	1.07 	11.9    	93.2  	67.8 	22.79	176.06	10  
0121/150	19   	1.07 	12.27   	99    	64.98	22.1 	176.01	10  
0122/150	19   	1.08 	12.42   	104.28	64.84	28.17	176.5 	10  
0123/150	19   	1.08 	12.69   	96.52 	65.5 	27.36	176.17	10  
0124/150	19   	1.06 	13.02   	94.52 	62.34	25.27	176.2 	10  
0125/150	19   	1.05 	12.41   	98.82 	67.57	24.34	175.49	10  
0126/150	19   	1.05 	12.51   	66.57 	57.17	25.23	177.79	10  
0127/150	19   	1.06 	12.57   	89.06 	61.55	24.03	175.96	10  
0128/150	19   	1.05 	12.38   	102.97	68.07	23.95	177.01	10  
0129/150	19   	1.02 	12.81   	116.64	62.42	24.44	176.73	10  
0130/150	19   	0.99 	12.09   	90.73 	60.45	25.16	175.91	10  
0131/150	19   	0.97 	12.23   	115.63	61.55	27.07	177.34	10  
0132/150	19   	0.98 	11.83   	86.09 	62.23	27.24	177.27	10  
0133/150	19   	0.98 	11.84   	95.56 	62.09	25.63	176.83	10  
0134/150	19   	0.99 	12.67   	95.91 	59.1 	22.53	176.98	10  
0135/150	19   	0.99 	12.26   	82.05 	52.55	22   	177.6 	10  
0136/150	19   	0.99 	12.3    	104.33	59.49	29.56	176.79	10  
0137/150	19   	0.99 	12.3    	90.9  	60.73	28.96	177.06	10  
0138/150	19   	0.98 	12.1    	80.89 	60.94	21.87	176.27	10  
0139/150	19   	0.97 	12.22   	103.49	55.47	25.13	177.4 	10  
0140/150	19   	0.97 	12.15   	88.62 	59.96	21.7 	176.93	10  
0141/150	19   	0.98 	11.58   	112.08	60.77	36.51	176.87	10  
0142/150	19   	1    	11.37   	95.27 	67.59	24.41	178.46	10  
0143/150	19   	1.01 	12.05   	91.43 	59.91	23.84	175.77	10  
0144/150	19   	1.02 	12.28   	111.3 	58.79	26.6 	175.57	10  
0145/150	19   	1.04 	12      	120.71	59.74	22.89	175.01	10  
0146/150	19   	1.04 	11.44   	96.54 	65.04	26.66	174.56	10  
0147/150	19   	1.04 	11.28   	117.66	61.62	20.99	174.65	10  
0148/150	19   	1.04 	12.01   	91.81 	57.71	28.88	174.98	10  
0149/150	19   	1.04 	11.87   	91.01 	63.55	27.56	175.24	10  
