gen     	evals	sigma	distance	avg 	std	min 	max  	dur 
0036/300	19   	2.93 	11.07   	45.58	46.14	3.43 	162.52	10  
0037/300	19   	2.93 	12.67   	35.99	32.9 	3.7  	150.64	10  
0038/300	19   	2.91 	11.98   	45.18	45.12	15.8 	160.03	10  
0039/300	19   	2.86 	12.12   	61.56	53.78	3.3  	163.97	10  
0040/300	19   	2.84 	10.88   	44.9 	39.72	11.66	161.97	10  
0041/300	19   	2.81 	12.26   	60.37	53.74	13.17	161.56	10  
0042/300	19   	2.78 	10.91   	63.09	53.34	13.18	165.79	10  
0043/300	19   	2.76 	12.14   	47.69	47.14	7.6  	166.72	10  
0044/300	19   	2.73 	12.32   	59.57	57.4 	10.48	167.44	10  
0045/300	19   	2.76 	13.94   	58.15	57.13	13.17	176.78	10  
0046/300	19   	2.72 	12.25   	51.62	43.09	8.1  	168.35	10  
0047/300	19   	2.72 	11.03   	50.38	48.19	8.1  	164.79	10  
0048/300	19   	2.67 	11.24   	44.32	42.46	9.8  	163.15	10  
0049/300	19   	2.62 	12.68   	80.54	67.03	8.2  	166.56	10  
0050/300	19   	2.53 	12.3    	74.65	55.34	13.77	163.58	10  
0051/300	19   	2.43 	12.46   	85.73	59.01	20.12	165.3 	10  
0052/300	19   	2.38 	12      	92.29	48.3 	17.34	166.73	10  
0053/300	19   	2.39 	11.96   	51.89	44.47	10.1 	159.96	10  
0054/300	19   	2.35 	10.83   	69.19	61.84	14.58	166.74	10  
0055/300	19   	2.27 	9.4     	33.71	20.47	15.87	111.51	7.71
0056/300	19   	2.19 	11.12   	91.75	53.42	19.04	160.54	10  
0057/300	19   	2.16 	11.08   	88.89	58.06	14.43	158.63	10  
0058/300	19   	2.14 	11.22   	97.46	57.32	15.01	163.33	10  
0059/300	19   	2.1  	12.35   	97.99	55.84	19.36	162.6 	10  
0060/300	19   	2.06 	12.47   	79.63	56.28	22   	165.17	10  
0061/300	19   	2    	10.93   	73.87	52.13	20.13	163.35	10  
0062/300	19   	1.96 	12.25   	68.6 	51.18	20.38	164.11	10  
0063/300	19   	1.97 	11.05   	72.72	55.56	16.67	163.31	10  
0064/300	19   	1.98 	11.38   	95   	60.02	16.59	165.88	10  
0065/300	19   	1.99 	11.7    	63.22	52.45	19.83	165.81	10  
0066/300	19   	1.94 	11.38   	63.74	47.82	18.53	163.77	10  
0067/300	19   	1.91 	12.97   	85.5 	51.66	19.91	172.32	10  
0068/300	19   	1.86 	12.14   	64.64	47.63	17.19	164.32	10  
0069/300	19   	1.84 	11.43   	74.39	57.16	17.85	164.78	10  
0070/300	19   	1.85 	11.71   	92.79	58.29	30.86	171.06	10  
0071/300	19   	1.89 	11.75   	43.91	26.85	24.09	139.35	9.26
0072/300	19   	1.93 	12.82   	58.22	43.18	20.64	170.8 	10  
0073/300	19   	1.97 	11.34   	53.63	40.83	16.78	164.13	10  
0074/300	19   	2    	12.52   	85.87	55.79	29.91	170.28	10  
0075/300	19   	2.02 	12.45   	102.97	57.67	21.71	171.36	10  
0076/300	19   	2.06 	12.13   	69.02 	54.52	20.52	164.28	10  
0077/300	19   	2.08 	12.25   	76.69 	47.08	16.42	162.65	10  
0078/300	19   	2.08 	11.29   	79.99 	49.73	24.59	166.31	10  
0079/300	19   	2.07 	12.09   	86.03 	57.23	23.29	166.72	10  
0080/300	19   	2.06 	11.41   	69.7  	51.64	18.78	165.55	10  
0081/300	19   	2.03 	12.63   	68.79 	50.77	20.96	167.38	10  
0082/300	19   	2    	12.35   	58.24 	42.31	19.39	166.35	10  
0083/300	19   	1.96 	12.51   	60.37 	38.72	22.95	165.67	10  
0084/300	19   	1.9  	11.85   	82.2  	52.21	24.31	165.87	10  
0085/300	19   	1.82 	12.26   	67.15 	51.96	19.7 	167.75	10  
0086/300	19   	1.76 	11.14   	66.3  	43.55	21.94	167.46	10  
0087/300	19   	1.75 	10.5    	63.71 	37.29	24.67	165.71	10  
0088/300	19   	1.73 	12.6    	76.48 	55.5 	22.59	172.69	10  
0089/300	19   	1.7  	12.89   	86.06 	55.64	22.26	173.53	10  
0090/300	19   	1.67 	12.23   	58.74 	45.85	23.57	166.46	10  
0091/300	19   	1.65 	12.7    	90.46 	56.18	19.09	171.84	10  
0092/300	19   	1.61 	12.33   	100.15	61.64	21.07	171.02	10  
0093/300	19   	1.6  	12.46   	88.7  	62.08	22.34	171.52	10  
0094/300	19   	1.58 	12.38   	80.23 	51.84	27.17	168.28	10  
0095/300	19   	1.56 	12.97   	90.58 	60.48	17.4 	172.06	10  
0096/300	19   	1.51 	12.67   	82.38 	50.88	28.29	167.3 	10  
0097/300	19   	1.47 	12.65   	74.23 	56.55	23.33	169.98	10  
0098/300	19   	1.41 	12.18   	94.35 	60.79	21.22	170.08	10  
0099/300	19   	1.38 	12.74   	101.36	56.41	23.28	171.71	10  
0100/300	19   	1.33 	12.28   	110.38	60.73	24.5 	175.34	10  
0101/300	19   	1.29 	12.94   	115.59	59.08	33.49	173.05	10  
0102/300	19   	1.27 	11.89   	110.51	64.95	25.09	174.3 	10  
0103/300	19   	1.24 	12.07   	100.45	62.8 	20.59	175.39	10  
0104/300	19   	1.22 	12.47   	86.97 	65.51	22.18	176.23	10  
0105/300	19   	1.19 	12.31   	86.39 	55.41	29.27	175.2 	10  
0106/300	19   	1.16 	12.31   	93.54 	54.03	25.49	173.69	10  
0107/300	19   	1.13 	12.24   	103.77	62.76	25.77	174.98	10  
0108/300	19   	1.11 	12.86   	114.21	58.23	23.4 	175.6 	10  
0109/300	19   	1.12 	12.37   	116.33	62.59	23.13	173.8 	10  
0110/300	19   	1.09 	12.25   	99.39 	57.53	26.97	173.92	10  
0111/300	19   	1.08 	12.38   	125.38	51.45	23.3 	173.41	10  
0112/300	19   	1.09 	12.65   	117.79	59.21	29.91	174.38	10  
0113/300	19   	1.08 	12.11   	84.07 	63.95	24.55	174.3 	10  
0114/300	19   	1.07 	12.42   	133.53	58.78	25.93	175.95	10  
0115/300	19   	1.08 	11.95   	121.73	67.04	22.33	176.04	10  
0116/300	19   	1.08 	12.84   	66.76 	56.51	20.74	175.19	10  
0117/300	19   	1.07 	12.52   	86.62 	59.98	22.78	175.45	10  
0118/300	19   	1.06 	12.25   	91.16 	70.42	23.3 	176.19	10  
0119/300	19   	1.06 	12.57   	110.17	66.65	22.06	176.71	10  
0120/300	19   	1.07 	11.9    	93.2  	67.8 	22.79	176.06	10  
0121/300	19   	1.07 	12.27   	99    	64.98	22.1 	176.01	10  
0122/300	19   	1.08 	12.42   	104.28	64.84	28.17	176.5 	10  
0123/300	19   	1.08 	12.69   	96.52 	65.5 	27.36	176.17	10  
0124/300	19   	1.06 	13.02   	94.52 	62.34	25.27	176.2 	10  
0125/300	19   	1.05 	12.41   	98.82 	67.57	24.34	175.49	10  
0126/300	19   	1.05 	12.51   	66.57 	57.17	25.23	177.79	10  
0127/300	19   	1.06 	12.57   	89.06 	61.55	24.03	175.96	10  
0128/300	19   	1.05 	12.38   	102.97	68.07	23.95	177.01	10  
0129/300	19   	1.02 	12.81   	116.64	62.42	24.44	176.73	10  
0130/300	19   	0.99 	12.09   	90.73 	60.45	25.16	175.91	10  
0131/300	19   	0.97 	12.23   	115.63	61.55	27.07	177.34	10  
0132/300	19   	0.98 	11.83   	86.09 	62.23	27.24	177.27	10  
0133/300	19   	0.98 	11.84   	95.56 	62.09	25.63	176.83	10  
0134/300	19   	0.99 	12.67   	95.91 	59.1 	22.53	176.98	10  
0135/300	19   	0.99 	12.26   	82.05 	52.55	22   	177.6 	10  
0136/300	19   	0.99 	12.3    	104.33	59.49	29.56	176.79	10  
0137/300	19   	0.99 	12.3    	90.9  	60.73	28.96	177.06	10  
0138/300	19   	0.98 	12.1    	80.89 	60.94	21.87	176.27	10  
0139/300	19   	0.97 	12.22   	103.49	55.47	25.13	177.4 	10  
0140/300	19   	0.97 	12.15   	88.62 	59.96	21.7 	176.93	10  
0141/300	19   	0.98 	11.58   	112.08	60.77	36.51	176.87	10  
0142/300	19   	1    	11.37   	95.27 	67.59	24.41	178.46	10  
0143/300	19   	1.01 	12.05   	91.43 	59.91	23.84	175.77	10  
0144/300	19   	1.02 	12.28   	111.3 	58.79	26.6 	175.57	10  
0145/300	19   	1.04 	12      	120.71	59.74	22.89	175.01	10  
0146/300	19   	1.04 	11.44   	96.54 	65.04	26.66	174.56	10  
0147/300	19   	1.04 	11.28   	117.66	61.62	20.99	174.65	10  
0148/300	19   	1.04 	12.01   	91.81 	57.71	28.88	174.98	10  
0149/300	19   	1.04 	11.87   	91.01 	63.55	27.56	175.24	10  
0150/300	19   	1.04 	11.67   	131.53	57.91	23.21	176.3 	10  
0151/300	19   	1.03 	11.74   	74.91 	60.13	25.56	176.82	10  
0152/300	19   	1.01 	11.16   	91.24 	65.26	23.69	175.82	10  
0153/300	19   	1.01 	12.22   	141.47	55.47	26.23	178.01	10  
0154/300	19   	0.99 	12.44   	99.08 	65.1 	25.8 	177.42	10  
0155/300	19   	0.97 	12.53   	62.98 	51   	25   	175.66	10  
0156/300	19   	0.94 	11.29   	110.46	60.85	23.73	176.95	10  
0157/300	19   	0.92 	12.41   	112.4 	63.53	26.46	178.57	10  
0158/300	19   	0.93 	12.35   	95.5  	63.1 	22.49	176.8 	10  
0159/300	19   	0.92 	12.37   	120.06	62.68	32.28	177.8 	10  
0160/300	19   	0.93 	12.55   	112.93	67.36	24.84	177.93	10  
0161/300	19   	0.94 	11.21   	103.74	62.95	26.7 	178.2 	10  
0162/300	19   	0.95 	12.18   	80.63 	59.36	33.37	177.26	10  
0163/300	19   	0.94 	11.33   	93.25 	65.31	26.56	176.78	10  
0164/300	19   	0.95 	11.55   	110.15	59.65	26.89	177.49	10  
0165/300	19   	0.97 	11.3    	108.09	64.99	26.15	178.99	10  
0166/300	19   	0.96 	11.33   	92.69 	59.78	36.84	178.01	10  
0167/300	19   	0.92 	10.96   	99.51 	66.71	26.81	178.25	10  
0168/300	19   	0.89 	12.02   	97.88 	64.16	23.75	177.34	10  
0169/300	19   	0.86 	12.06   	87.34 	67.96	26.15	177.12	10  
0170/300	19   	0.84 	11.68   	107.84	69.04	23.69	178.28	10  
0171/300	19   	0.81 	11.29   	109.76	63.25	22.16	177.36	10  
0172/300	19   	0.78 	11.66   	99.21 	61   	27.16	177.12	10  
0173/300	19   	0.76 	11.27   	118.72	65.04	32.19	177.55	10  
0174/300	19   	0.76 	11.19   	147.94	52.02	36.27	178.21	10  
0175/300	19   	0.77 	12.1    	98.17 	66.47	28.19	177.43	10  
0176/300	19   	0.78 	12.53   	108.99	65.51	33.96	177.79	10  
0177/300	19   	0.79 	12.36   	105.75	66.2 	23.84	176.96	10  
0178/300	19   	0.81 	12.14   	148.23	48.82	36.5 	177.35	10  
0179/300	19   	0.8  	11.57   	144.55	53.95	35.86	177.78	10  
0180/300	19   	0.8  	11.38   	88.07 	61.25	23.5 	178.25	10  
0181/300	19   	0.8  	11.2    	92.02 	65.38	23.85	178.44	10  
0182/300	19   	0.79 	11.41   	96.56 	63   	23.2 	178.69	10  
0183/300	19   	0.77 	12.07   	95.85 	69.34	26.28	177.58	10  
0184/300	19   	0.77 	11.54   	112.76	67.84	26.17	178.83	10  
0185/300	19   	0.75 	11.16   	109.55	64.78	35.45	178.37	10  
0186/300	19   	0.72 	11.21   	93.9  	58.73	34.58	178.11	10  
0187/300	19   	0.7  	11.48   	120.29	63.81	27.02	179.11	10  
0188/300	19   	0.68 	11.43   	99.84 	66.69	32.04	178.98	10  
0189/300	19   	0.66 	11.42   	127.91	58.35	33.63	178.95	10  
0190/300	19   	0.64 	11.72   	91.32 	64.31	23.61	179.82	10  
0191/300	19   	0.62 	12.47   	83.68 	58.58	33.53	178.58	10  
0192/300	19   	0.62 	12.21   	123.53	63.33	32.11	179.18	10  
0193/300	19   	0.62 	12.31   	123.93	63.81	36.35	178.71	10  
