gen     	evals	sigma	distance	avg 	std	min 	max  	dur 
0001/300	19   	4.69 	1.98    	9.62	6.5	3.79	31.22	2.34
0002/300	19   	4.48 	3.34    	17.63	20.21	4.43	94.81	5.61
0003/300	19   	4.32 	0.1     	11.86	4.26 	3.73	23.18	1.5 
0004/300	19   	4.16 	1.88    	15.37	7.7  	7.35	33.21	2.25
0005/300	19   	4.09 	5.89    	20.51	14.47	8   	73.21	4.82
0006/300	19   	4.07 	1.55    	16.56	9.21 	3.5 	46.94	2.86
0007/300	19   	4.13 	4.8     	23.36	16.35	5.32	60.19	4.17
0008/300	19   	4.16 	9.5     	24.86	27.34	3.56	124.81	7.9 
0009/300	19   	4.12 	4.53    	22.97	32.99	3.76	155.77	10  
0010/300	19   	3.98 	5.08    	16.05	13.38	7.15	70.67 	4.56
0011/300	19   	3.92 	4.62    	21.34	14.98	10.04	74.74 	5.08
0012/300	19   	3.88 	3.6     	20.39	8.36 	9.7  	38.44 	2.7 
0013/300	19   	3.89 	7.18    	22.27	26.8 	4.14 	130.53	8.16
0014/300	19   	3.87 	8.32    	25.69	30.39	3.88 	144.06	9.48
0015/300	19   	3.84 	10.98   	26.6 	35.31	3.2  	159.04	10  
0016/300	19   	3.87 	3.93    	27.37	16.42	9.89 	67.36 	4.24
0017/300	19   	3.85 	4.74    	23.16	10.52	12.42	51.24 	3.27
0018/300	19   	3.85 	4.65    	23.31	17   	3.72 	65.94 	4.28
0019/300	19   	3.82 	6.01    	27.37	19.83	9.69 	73.3  	4.86
0020/300	19   	3.76 	10.35   	23.51	35.66	4.92 	168.77	10  
0021/300	19   	3.7  	3.53    	19.74	10.25	8.34 	44.91 	3.46
0022/300	19   	3.68 	4.91    	25.17	15.93	7.7  	68.61 	4.35
0023/300	19   	3.65 	0.71    	15.41	9.67 	3.16 	39.9  	2.58
0024/300	19   	3.61 	5.77    	20   	14.12	4.98 	71.86 	5.43
0025/300	19   	3.49 	3.8     	20.39	10.18	3.24 	49.51 	3.2 
0026/300	19   	3.42 	3.33    	13   	9.24 	2.64 	46.55 	3.3 
0027/300	19   	3.34 	11.19   	26.02	33.52	6.31 	165.21	10  
0028/300	19   	3.31 	5.92    	25.01	22.27	3.51 	90.28 	6.06
0029/300	19   	3.25 	0.86    	17.17	10.32	3.25 	38.02 	2.74
0030/300	19   	3.18 	2.81    	20.2 	12.18	3.45 	52.25 	3.47
0031/300	19   	3.12 	7.49    	21.91	23.74	3.45 	101.03	7.5 
0032/300	19   	3.07 	3.17    	21.64	16.56	3.36 	69.29 	4.85
0033/300	19   	3.05 	12.31   	42.92	44.69	11.05	174.75	10  
0034/300	19   	3.05 	10.79   	38.93	41.97	3.31 	157.77	10  
0035/300	19   	2.99 	11.21   	27.23	35.82	3.44 	167.25	10  
